replicate,rho_raw,rho_bias_corrected
87,1.916409,1.026738
88,1.87878,1.652026
89,1.999513,1.004148
90,1.796685,0.717654
91,2.390762,2.776926
92,1.836673,1.368632
93,2.189636,1.794322
94,1.718161,1.802265
95,1.922271,1.340767
96,2.054139,1.821994
97,2.467153,1.294106
98,2.445929,2.806048
99,1.891313,1.002202
100,2.472734,1.85983
101,2.664107,4.42786
102,2.059159,1.677623
103,1.870753,1.449688
104,1.851062,1.317549
105,2.466205,2.063311
106,1.799355,1.259012
107,1.939147,2.202561
108,2.044598,4.369028
109,1.973384,1.72064
110,3.091148,2.722689
111,2.04571,1.603717
112,2.460111,0.757047
113,1.992877,1.833894
114,2.025046,0.988715
115,2.052941,1.056871
116,2.240799,1.205169
117,1.948949,1.13755
118,1.454762,0.907955
119,2.012729,1.667648
120,1.873983,1.712966
121,1.762101,1.313412
122,1.679624,0.891911
123,1.426662,0.821257
124,2.383123,0.899443
125,2.102456,2.189442
126,1.854873,1.727588
127,1.698086,1.273224
128,1.844805,2.097633
129,2.17965,2.069792
130,2.229991,1.399156
131,1.698646,1.694332
132,2.046731,3.799078
133,2.029821,2.247309
134,2.674254,1.492598
135,1.718208,1.523964
136,2.046144,1.458932
137,2.671655,3.612836
138,1.986353,1.445796
139,1.944705,2.859456
140,2.183281,0.871198
141,1.746333,1.0758
142,2.315806,1.097015
143,2.174581,1.321242
144,2.081003,1.442341
145,2.3225,2.176194
146,2.017205,1.151302
147,2.593903,1.304146
148,2.565665,1.743696
149,2.28413,1.567086
150,2.103749,1.404935
151,2.053268,1.338605
152,1.75051,1.390146
153,2.214109,1.814899
154,2.308463,1.781988
155,1.963975,2.196023
156,2.123966,1.536071
157,1.836916,1.316161
158,1.823837,1.044912
159,2.084188,2.533698
160,1.776487,0.873941
161,2.098718,1.443034
162,1.909169,1.401564
163,2.165746,2.001339
164,1.970685,1.354387
165,2.159249,2.75937
166,2.081759,1.484651
167,2.010829,1.256234
168,2.057833,3.212306
169,2.590855,1.534249
170,1.765763,1.153029
171,2.452401,1.230466
172,2.475469,1.963802
173,1.755561,1.597517
174,2.002075,1.276419
175,1.842706,1.509831
176,2.191691,1.165176
177,2.144893,1.801495
178,2.191652,2.787226
179,2.216534,2.864588
180,2.183685,1.666652
181,2.054,2.011491
182,1.90424,1.568464
183,2.289737,2.113121
184,2.483322,2.851144
185,2.04662,2.122762
186,2.243898,1.687669
187,2.313429,1.713155
188,1.90718,0.472024
189,2.024603,1.102436
190,2.253231,2.055262
191,1.945683,1.073724
192,2.020278,1.623445
193,1.955018,1.852621
194,2.019442,1.897356
195,2.364976,1.946095
196,2.287216,1.337004
197,2.161107,1.424451
198,1.965917,2.101402
199,1.832667,1.267348
200,2.354028,0.946249
201,2.079748,0.957888
202,2.038931,1.057357
203,2.382103,0.946509
204,1.983272,2.107212
205,2.053696,1.779581
206,1.96172,0.743904
207,2.062584,1.023541
208,1.763223,0.802501
209,2.660226,3.820303
210,2.24336,2.345698
211,2.297536,2.0823
212,2.922009,3.463823
213,2.0606,2.144455
214,2.225217,1.588836
215,1.759254,1.621716
216,1.91874,1.991383
217,2.021549,2.115428
218,2.384164,0.604616
219,2.004786,1.054577
220,2.128155,0.877356
221,2.179777,1.727892
222,2.101169,2.088201
223,2.090909,2.531906
224,1.982378,2.004644
225,1.721821,1.124679
226,1.898109,2.034439
227,1.794177,1.538807
228,2.251686,1.102469
229,1.764057,1.745765
230,1.912499,1.126263
231,1.853611,1.856734
232,2.052255,1.695492
233,1.877734,2.65332
234,1.988462,1.730009
235,2.569382,3.390423
236,1.750771,1.961748
237,2.412884,1.318096
238,2.197915,2.227443
239,2.271082,2.03497
240,2.048981,1.31661
241,2.662181,1.785089
242,2.028242,1.875642
243,2.053325,2.211925
244,2.656732,1.331757
245,2.167198,2.304645
246,2.829501,2.067926
247,1.938983,3.251413
248,1.70366,0.886326
249,2.217554,1.555441
250,2.570444,2.557083
251,2.378422,1.458684
252,1.861738,1.071334
253,1.95497,1.180392
254,1.907489,1.620887
255,1.943312,2.592694
256,2.467622,2.764125
257,2.224503,2.101521
258,2.258545,2.321486
259,1.676331,0.403049
260,1.921628,1.052604
261,2.360276,1.839404
262,2.25118,1.589689
263,1.996883,1.698944
264,2.267739,1.660761
265,1.98592,0.74202
266,2.111771,2.402297
267,1.98548,1.765162
268,2.288181,1.5813
269,2.246955,3.669031
270,2.290092,1.970933
271,2.056343,1.550143
272,1.77665,0.89499
273,2.167196,1.666339
274,1.964643,1.072473
275,2.082323,2.454244
276,2.091792,2.368756
277,2.11422,1.584974
278,2.072427,1.343821
279,2.103542,1.391758
280,2.319735,2.556688
281,1.750632,2.99603
282,2.569415,2.858661
283,2.001689,1.822954
284,2.038411,3.808034
285,2.02714,1.152858
286,2.262757,2.894178
287,2.132115,2.6825
288,1.707676,1.725519
289,1.814821,1.101429
290,2.164038,1.820232
291,1.971765,2.184828
292,2.061183,1.9104
293,2.47932,0.856163
294,1.701918,1.204195
295,2.084546,4.662823
296,2.154777,2.339284
297,2.072061,1.417057
298,1.845301,1.70677
299,2.030558,3.604993
300,1.645771,1.848968
301,1.627625,1.693483
302,2.026081,1.637434
303,1.956765,0.749558
304,2.158332,1.641875
305,1.901878,1.585943
306,2.227086,1.265506
307,2.215216,2.878071
308,1.919728,1.707472
309,2.124736,1.493096
310,2.055388,1.749939
311,2.117179,1.830067
312,2.338953,1.181684
313,2.556041,2.080603
314,1.414047,1.224715
315,2.046324,1.166554
316,1.836953,1.55121
317,2.352912,1.368884
318,2.014676,0.981017
319,2.420616,2.066798
320,2.048376,1.66781
321,1.688526,1.386905
322,2.064231,1.38251
323,1.907785,2.056674
324,2.766653,3.450143
325,2.144889,0.834759
326,2.04173,2.207105
327,2.171436,2.680457
328,2.505822,2.403961
329,2.23593,1.117403
330,1.954297,1.004793
331,1.819694,1.781472
332,2.178137,1.921974
333,1.735156,2.009894
334,1.908849,1.170366
335,1.958818,1.402456
336,1.814132,1.382395
337,1.673753,1.418584
338,2.230817,1.09623
339,2.619546,1.993991
340,1.973077,2.189655
341,1.960201,1.570643
342,1.770173,0.690167
343,2.86708,4.411323
344,1.885057,1.655104
345,2.08365,1.753304
346,2.420127,3.373861
347,2.567363,2.02427
348,2.301767,0.719632
349,2.233167,1.47867
350,2.244611,1.855695
351,2.482775,2.207684
352,2.214922,2.399833
353,2.328066,2.470675
354,2.055349,2.360313
355,2.166453,0.867536
356,1.940644,0.648813
357,2.005465,1.819859
358,1.949985,1.122057
359,1.827184,1.569269
360,2.302084,2.701672
361,1.749195,1.800508
362,2.28233,2.066015
363,2.644084,2.246504
364,2.29169,1.504828
365,1.864583,1.385532
366,1.783661,0.993041
367,1.946936,2.448084
368,2.684076,0.856602
369,1.88807,1.599738
370,2.642824,1.832896
371,1.803214,0.855464
372,1.933765,1.61948
373,2.517878,1.159002
374,1.754519,1.023301
375,2.068733,1.116772
376,2.064455,1.228671
377,2.083362,2.401589
378,2.551691,1.586081
379,2.154153,1.934104
380,2.034349,1.213411
381,1.985613,1.84125
382,2.061354,1.739322
383,1.986778,1.737257
384,1.738261,0.967727
385,2.072895,1.588682
386,2.458168,2.666013
387,2.024992,1.565996
388,2.293406,1.612691
389,1.822749,0.863741
390,2.186332,1.419826
391,1.751957,1.280998
392,2.426336,2.919006
393,1.800559,1.273077
394,1.81643,1.151557
395,2.644575,1.747632
396,2.174447,1.150943
397,2.140803,0.959316
398,1.90875,1.980389
399,2.074017,1.328871
400,2.102324,2.239438
401,1.989043,0.966557
402,2.008792,1.643973
403,1.745665,1.359173
404,1.731139,0.770726
405,2.08888,1.490202
406,2.086736,1.372676
407,1.903111,1.707738
408,1.97385,1.486174
409,2.526326,2.763309
410,1.970106,1.114045
411,2.479292,3.075121
412,2.28276,1.66425
413,2.031687,1.475075
414,2.513382,2.126619
415,1.607084,1.175104
416,2.018561,2.655628
417,2.38082,2.863803
418,2.090632,3.972341
419,2.601961,2.732815
420,2.144012,1.426238
421,1.931753,1.269025
422,1.756867,0.874938
423,2.063963,2.149479
424,1.595003,2.4294
425,2.846973,3.101491
426,2.053773,1.551346
427,1.783503,1.127128
428,2.331312,2.167547
429,1.97148,1.960323
430,2.131121,1.426136
431,2.376104,1.249058
432,2.083253,1.536186
433,1.590309,1.207003
434,1.975501,2.257727
435,1.841419,1.11845
436,1.99244,1.6965
437,1.849405,1.663596
438,1.911436,1.409801
439,1.937631,1.267664
440,1.962326,1.339954
441,2.592029,3.100516
442,1.833001,1.701974
443,2.794866,2.199809
444,1.984361,1.264274
445,2.480336,3.235349
446,2.114588,1.071964
447,2.479542,1.707467
448,2.398334,6.015465
449,2.260919,2.1235
450,2.094863,1.377582
451,1.905777,2.824812
452,2.183632,1.21803
453,2.255248,1.335588
454,2.392344,1.774326
455,2.081614,1.335336
456,2.05775,2.049685
457,1.87174,2.588778
458,1.618804,1.119687
459,2.100199,1.880267
460,1.715792,1.546287
461,1.885354,2.253456
462,2.382576,4.086396
463,1.923195,1.726421
464,2.187816,2.330771
465,2.314583,1.294598
466,1.562946,1.891644
467,2.29887,1.746474
468,1.83982,0.877767
469,1.978727,2.573718
470,2.195777,1.744509
471,1.756376,0.898793
472,1.673126,0.776013
473,2.23276,1.617638
474,2.529803,3.1365
475,2.24646,1.627633
476,2.256329,1.260298
477,2.144617,1.981388
478,2.479857,2.133183
479,1.724868,1.135274
480,2.089033,1.754237
481,2.526542,1.88865
482,1.672665,1.083891
483,2.310567,2.232624
484,1.721255,0.92025
485,1.97193,1.864455
486,2.013231,1.059244
487,1.883704,0.967379
488,1.834171,1.647707
489,1.880388,2.37082
490,2.057195,1.569465
491,2.329091,2.498482
492,2.269322,2.462115
493,2.61634,1.123437
494,2.483902,1.106226
495,2.531582,1.283304
496,1.869978,1.756973
497,2.067669,2.250334
498,2.577552,2.620152
499,2.022047,2.14974
500,1.625198,1.198947
501,2.061805,1.257946
502,1.951561,1.925824
503,1.971881,0.998532
504,2.000585,1.696341
505,2.064949,3.176887
506,1.975693,1.900701
507,2.073191,1.817138
508,2.213662,2.656273
509,1.761082,1.059911
510,1.708754,1.338844
511,1.883904,1.278289
512,2.296137,2.981585
513,2.450503,1.769628
514,2.224735,1.683711
515,1.614117,1.288769
516,1.883521,1.463742
517,2.365448,1.807555
518,2.254838,1.837555
519,2.103874,1.300987
520,2.221619,1.361644
521,2.058369,1.900403
522,2.097792,0.981065
523,2.065216,1.152927
524,2.032987,3.054979
525,1.942977,2.234364
526,2.013352,1.671067
527,1.955317,1.766841
528,2.189197,1.321903
529,2.125109,2.351176
530,2.135085,0.854733
531,2.570958,3.277776
532,2.123532,1.241717
533,1.685739,1.352737
534,2.367376,1.184691
535,2.031667,1.263468
536,1.684284,1.056419
537,2.130689,1.022898
538,2.209933,1.683309
539,2.251298,1.495091
540,2.000826,2.055096
541,1.734684,2.499431
542,1.916,2.331109
543,2.259847,1.664675
544,1.918897,1.182546
545,2.036552,1.486677
546,1.671267,0.913349
547,2.35573,1.611782
548,2.08881,0.990234
549,1.911347,0.928432
550,1.935032,1.00615
551,1.776263,1.295871
552,1.977901,1.743766
553,2.401795,1.758651
554,2.091487,1.576519
555,2.680134,1.750432
556,2.854789,1.445771
557,2.022419,1.010137
558,2.079811,1.947854
559,2.19451,3.05453
560,2.095027,2.966916
561,1.881743,1.463205
562,2.5379,1.49766
563,2.137852,3.871069
564,2.110642,1.451359
565,2.191972,2.877561
566,1.961945,1.565072
567,2.375935,1.706982
568,1.922412,1.227596
569,1.713274,1.281995
570,1.769702,2.297143
571,1.984865,1.470105
572,2.329576,1.069925
573,1.914785,1.879974
574,1.794416,0.644522
575,1.746272,0.512949
576,2.000726,1.39581
577,2.159229,1.387423
578,1.859234,0.817862
579,1.84377,1.042105
580,2.238398,1.751985
581,2.0364,1.935602
582,1.829225,4.094591
583,2.492804,2.209526
584,1.741787,3.494138
585,1.727129,1.450704
586,2.171118,1.461139
587,1.931103,1.536298
588,2.281877,2.405384
589,2.627738,2.310678
590,2.261009,2.425145
591,1.852789,0.599691
592,1.842324,0.948354
593,2.644613,2.411875
594,1.944322,1.982813
595,1.659865,2.122839
596,2.662906,1.835197
597,1.879947,1.125806
598,1.598637,1.387549
599,2.09896,1.835147
600,2.059027,0.805789
601,2.289054,1.989215
602,2.065415,1.839471
603,2.162969,1.93372
604,2.144185,1.877966
605,1.892956,1.242141
606,2.095091,1.054441
607,1.677848,1.190617
608,2.03954,2.266725
609,2.027817,1.046868
610,2.216705,0.385815
611,2.150331,2.543101
612,2.441208,0.553222
613,2.681548,3.215511
614,1.717324,1.324373
615,2.302089,1.393094
616,1.8751,0.731026
617,1.882452,1.002506
618,2.071194,1.209193
619,2.602889,1.541059
620,2.427753,3.120884
621,2.024531,2.834214
622,1.931043,1.515826
623,2.101382,2.266125
624,2.328167,0.746965
625,1.758059,1.386356
626,1.961298,2.038898
627,2.357374,1.196135
628,1.746051,1.175393
629,1.421151,1.131574
630,1.743348,1.208338
631,1.909757,1.316162
632,1.762372,1.502818
633,1.969244,1.555683
634,1.706574,1.121716
635,2.087732,1.681019
636,2.216363,1.46993
637,1.822262,0.860501
638,2.788788,2.01613
639,2.189793,2.568985
640,2.131471,1.402847
641,1.816677,1.125289
642,2.225794,2.133945
643,2.36653,1.733787
644,2.09525,0.680616
645,1.899629,1.228104
646,1.945913,1.339024
647,1.941378,1.697671
648,2.244691,1.970054
649,2.305231,1.7656
650,1.761463,1.318817
651,1.829339,1.140508
652,2.051223,0.854727
653,1.764706,1.474234
654,2.080432,1.032932
655,2.257593,1.985307
656,2.020389,2.704503
657,2.054935,2.140555
658,1.907426,1.639017
659,1.730493,1.326858
660,1.971382,2.089872
661,1.927418,1.649757
662,2.580739,2.006514
663,2.193724,2.214238
664,2.191996,1.380976
665,2.252899,1.508256
666,1.877607,2.090521
667,2.214087,1.337776
668,1.876642,1.910898
669,1.99383,1.881299
670,2.502328,0.993399
671,1.922751,1.7449
672,2.092712,1.829012
673,1.927694,1.409085
674,1.832696,0.945844
675,2.617691,1.300882
676,1.758931,1.560848
677,1.74432,1.229136
678,1.945746,0.956619
679,1.986326,0.841991
680,1.841188,2.679522
681,2.113194,2.002323
682,1.800417,1.675475
683,2.442933,2.4832
684,2.020981,2.236446
685,1.889029,2.163262
686,2.259263,0.653375
687,2.402624,0.974027
688,1.748063,1.885551
689,1.957004,1.343098
690,1.563532,0.686956
691,2.222421,1.180635
692,2.101211,2.02992
693,2.517681,1.703953
694,2.331707,1.171404
695,2.319984,1.698344
696,1.886206,1.242818
697,1.774807,0.476835
698,1.965366,3.550748
699,1.891183,1.643348
700,2.071656,1.341579
701,1.927478,1.843288
702,1.655574,1.732543
703,1.812708,1.487229
704,1.665363,1.29461
705,1.762122,1.807065
706,2.013027,1.351728
707,1.746143,1.644461
708,2.376402,1.946008
709,2.020873,1.616965
710,2.133671,1.852342
711,1.822488,2.780714
712,2.508854,1.049547
713,2.253076,2.093037
714,1.960711,2.225743
715,1.857347,2.02008
716,2.347708,1.776027
717,1.776733,1.782948
718,1.733927,0.868732
719,2.297935,1.720391
720,2.163973,2.762282
721,1.929212,2.112187
722,2.076564,1.640175
723,2.345943,1.434511
724,1.937536,1.423652
725,2.039673,1.038587
726,2.090241,0.877968
727,1.848688,2.073252
728,1.637883,1.013229
729,1.966876,2.024749
730,2.006047,3.840926
731,1.803857,0.8403
732,2.029645,1.121281
733,2.165607,2.496931
734,1.879746,1.818926
735,2.275299,2.374627
736,1.72549,0.963203
737,2.326388,2.205714
738,2.318648,1.550064
739,2.182631,1.789546
740,2.269932,0.755253
741,2.349168,2.437858
742,1.817502,1.579614
743,2.034354,1.287957
744,1.859955,1.189301
745,2.125998,3.444821
746,2.036551,0.595536
747,2.568717,1.406798
748,1.786959,1.090376
749,1.831969,2.914365
750,2.146941,2.056518
751,1.598436,1.379158
752,1.849869,1.471625
753,2.284332,2.108928
754,1.60018,0.923194
755,2.049267,1.500756
756,1.93847,1.691903
757,2.131102,1.701432
758,1.665914,0.723893
759,2.084303,2.307984
760,1.7593,1.446931
761,2.999375,1.852997
762,1.918932,1.795626
763,1.79676,1.159979
764,1.824239,2.084301
765,2.528337,2.433127
766,2.650016,2.91111
767,1.861158,1.535011
768,1.601674,1.334261
769,1.856492,1.817718
770,1.909528,2.594855
771,2.036174,2.604988
772,1.91195,2.260014
773,1.968532,1.600771
774,2.313488,1.603716
775,2.400172,1.851331
776,2.320136,2.484253
777,1.640468,1.470959
778,1.991339,2.266416
779,2.033561,1.29363
780,1.914165,1.359602
781,1.942064,1.011321
782,2.017516,1.627678
783,2.207364,2.23711
784,1.927993,1.24596
785,2.188501,1.63176
786,2.152033,1.469659
787,1.686669,1.05024
788,2.13641,2.655939
789,1.8527,1.050108
790,2.261398,2.790398
791,2.251358,0.903959
792,2.137735,1.917409
793,2.33138,1.74671
794,2.600218,1.529772
795,2.271024,1.48307
796,2.669084,2.027551
797,2.283137,1.768425
798,1.623663,0.829364
799,2.321197,1.891263
800,1.937274,0.857215
801,1.94596,1.244396
802,2.016528,1.135896
803,2.720508,2.311392
804,2.21552,2.723707
805,1.978203,1.837185
806,1.98555,1.404081
807,1.90848,0.894052
808,1.817611,1.670463
809,2.085049,1.869395
810,1.999639,1.242175
811,2.376493,1.656096
812,1.97329,1.350445
813,1.638768,0.893336
814,2.180865,1.749728
815,2.096401,1.493116
816,1.741151,1.473653
817,2.204697,1.526808
818,2.489348,2.948232
819,2.035677,2.276436
820,2.233809,2.727421
821,2.436666,1.812523
822,2.074091,1.448704
823,2.817373,1.34439
824,2.126633,1.538639
825,1.77662,1.688817
826,2.681527,2.858852
827,1.60052,1.183353
828,2.354717,1.866495
829,2.055368,0.517241
830,2.125793,2.05176
831,2.225745,1.33738
832,1.655523,1.29853
833,1.944117,2.394383
834,2.266137,2.868676
835,2.25774,0.994337
836,2.145863,1.020511
837,2.304707,2.648769
838,1.903283,1.57378
839,2.282832,1.783989
840,2.318936,1.551093
841,1.740306,1.673212
842,2.275741,1.425815
843,1.987381,1.574721
844,2.523889,1.742359
845,1.730804,1.226982
846,1.76175,1.910981
847,2.469654,1.959719
848,1.784815,1.632554
849,1.960161,1.692131
850,2.234627,1.939775
851,1.839965,1.428456
852,2.537713,3.009967
853,2.361002,1.466922
854,2.929632,2.531253
855,1.801484,1.434546
856,2.038005,2.416783
857,2.054257,2.046299
858,1.797081,2.831188
859,2.239316,1.442196
860,2.545604,1.215058
861,1.916001,1.431147
862,1.677665,1.495491
863,2.12169,1.498439
864,2.094228,0.716722
865,1.766014,2.368231
866,1.946057,1.547793
867,2.203879,1.128023
868,1.941325,2.292364
869,1.803024,1.04979
870,1.913109,1.856097
871,2.263301,2.113036
872,1.796076,0.805904
873,1.967331,1.702342
874,2.334107,0.935173
875,2.038059,3.504258
876,1.924115,3.019829
877,1.983309,1.74964
878,1.977199,3.659755
879,2.04482,1.011404
880,1.791888,0.645649
881,2.317827,1.453078
882,2.580581,1.286889
883,1.823852,1.211107
884,2.269681,1.864778
885,2.088224,1.209828
886,2.609423,2.831766
887,1.736327,0.753833
888,2.030785,1.816413
889,1.703344,1.235123
890,2.226351,0.595558
891,2.520747,2.286701
892,2.048294,2.298885
893,2.491247,1.286183
894,2.087621,1.422444
895,2.064981,2.789113
896,2.054432,2.233219
897,2.210153,2.059509
898,2.057968,1.860932
899,1.867582,1.45408
900,2.0848,1.661349
901,2.510752,1.189213
902,1.762258,1.351206
903,2.2983,1.19535
904,1.707764,1.66038
905,2.219516,1.684613
906,1.963294,1.105917
907,2.639709,3.906569
908,2.025213,0.644677
909,1.914098,2.063665
910,1.97574,1.236764
911,1.887859,1.180585
912,2.19233,3.066802
913,2.264742,3.062327
914,2.223767,2.257124
915,2.10919,1.29476
916,1.925051,1.39492
917,1.835728,0.417366
918,2.222152,1.377826
919,2.042569,1.903602
920,2.310338,1.559809
921,2.420344,1.581763
922,1.944706,1.659586
923,2.440845,1.656625
924,2.099927,2.045839
925,1.923461,1.504801
926,2.173133,2.974424
927,2.488394,1.234882
928,1.755623,1.733623
929,2.187816,1.031499
930,2.441329,2.247438
931,2.114833,1.961268
932,1.918001,1.556816
933,2.098016,2.084585
934,1.973651,1.719856
935,1.510757,0.978738
936,2.007375,2.242286
937,2.067531,2.176143
938,2.046277,1.161142
939,2.114035,1.868777
940,2.38411,2.220566
941,2.114579,1.639063
942,2.141429,0.791684
943,1.631122,2.560772
944,1.742699,1.738337
945,1.966373,2.009013
946,2.565795,2.22228
947,1.783355,1.820113
948,2.183051,1.42741
949,2.334037,2.267225
950,2.160456,0.656899
951,2.236931,1.653418
952,2.145645,1.571205
953,2.010997,1.676651
954,1.844923,0.850943
955,2.230228,1.354502
956,1.994853,0.658671
957,2.327635,2.727709
958,2.238634,3.183245
959,1.885946,1.334448
960,2.667372,2.271332
961,1.827611,0.751467
962,1.993066,1.842364
963,1.858454,1.896586
964,1.954181,1.747689
965,2.202524,3.413374
966,2.108494,1.459164
967,1.897541,1.204658
968,2.044942,1.113856
969,1.831154,1.306945
970,2.3113,2.01753
971,1.809293,1.62429
972,1.974615,1.709345
973,2.600644,1.157959
974,2.225025,2.526952
975,2.054176,1.983483
976,2.126226,1.880652
977,2.07614,0.812165
978,1.93772,2.322865
979,1.893125,1.141668
980,2.054476,1.879808
981,2.332064,2.063188
982,2.106394,1.689559
983,1.88536,1.197001
984,2.185403,2.472806
985,1.734292,1.420463
986,1.666667,1.585214
987,1.823744,1.222669
988,2.447454,2.807179
989,2.05092,2.453241
990,2.042535,2.013827
991,2.180335,1.698097
992,2.6534,1.808716
993,2.060015,1.114167
994,1.881433,1.101866
995,2.492955,2.544276
996,2.181538,1.691947
997,2.21994,1.620123
998,2.308339,1.989856
999,1.823868,1.564782
1000,1.960966,1.454599
1001,2.031395,1.054533
1002,1.873775,1.4261
1003,2.131034,0.657565
1004,1.923563,1.122332
1005,2.022788,1.530063
1006,1.875333,1.829445
1007,1.924058,1.787414
1008,2.549902,2.11046
1009,2.000165,1.449152
1010,2.129083,1.93357
1011,2.114538,2.165152
1012,1.982019,7.745525
1013,2.066896,1.875462
1014,2.187167,1.496835
1015,2.388827,2.026585
1016,1.697549,1.386419
1017,1.999484,0.974585
1018,2.454929,2.085869
1019,2.304755,1.218606
1020,2.196598,1.143213
1021,1.966533,0.885839
1022,2.063882,2.016616
1023,2.256688,1.33403
1024,2.591613,1.48935
1025,1.790185,2.314988
1026,2.334838,2.523571
1027,2.069237,1.82172
1028,1.975645,1.891998
1029,1.79193,1.842765
1030,2.051964,1.737876
1031,2.185064,1.302667
1032,1.770137,3.352166
1033,1.888272,1.33958
1034,2.218542,1.926761
1035,1.906466,1.67368
1036,2.409412,2.540614
1037,2.102655,1.149313
1038,1.887183,1.995319
1039,1.8756,2.024464
1040,1.570599,1.888262
1041,2.340361,3.295302
1042,2.040549,1.695775
1043,2.235399,1.412959
1044,2.458532,2.753943
1045,1.984961,1.344931
1046,1.667156,1.691024
1047,1.804387,1.082529
1048,1.826083,1.502148
1049,2.060916,0.883136
1050,1.87219,3.283503
1051,2.495885,1.939694
1052,2.052199,4.152812
1053,2.171939,2.76654
1054,2.131102,1.921309
1055,2.263041,2.409225
1056,2.129168,0.58387
1057,2.528709,0.733497
1058,2.044174,1.658911
1059,2.087535,1.504181
1060,2.040535,1.954201
1061,2.165236,1.642699
1062,1.860979,1.538118
1063,1.557241,1.205479
1064,1.604332,0.841365
1065,2.08571,1.581217
1066,2.370031,1.499141
1067,2.396548,3.072745
1068,2.246957,2.742627
1069,1.945123,1.731646
1070,2.465363,1.300801
1071,1.58225,0.790764
1072,2.136909,1.614188
1073,1.821081,1.956316
1074,2.07394,2.345303
1075,2.335437,2.079485
1076,2.463903,1.626351
1077,1.936659,1.281991
1078,2.008608,1.901497
1079,2.125032,1.926173
1080,2.118095,1.600296
1081,2.27701,1.385277
1082,1.69641,1.385374
1083,1.722861,2.308274
1084,1.871618,1.350682
1085,2.313608,1.762696
1086,1.853336,1.190065
1087,2.003959,2.704969
1088,1.741962,1.510803
1089,1.850711,1.141579
1090,2.202425,1.81385
1091,1.934686,4.55384
1092,2.401477,0.521255
1093,2.55807,1.869319
1094,1.975527,1.630309
1095,1.72354,1.369243
1096,2.66009,1.187581
1097,2.13597,1.231082
1098,2.282456,2.419727
1099,2.218223,0.886672
1100,1.780486,1.145032
1101,1.8753,1.509317
1102,2.053534,1.195981
1103,1.751048,0.611503
1104,1.852625,1.723351
1105,1.811595,2.153534
1106,2.378714,2.364226
1107,2.005252,2.443207
1108,1.536851,1.80651
1109,2.679087,0.968537
1110,2.366925,2.025383
1111,2.367065,2.28609
1112,2.426063,1.70541
1113,2.09076,0.64767
1114,2.697292,2.852484
1115,2.463454,1.872574
1116,1.674401,0.802032
1117,1.910775,1.779203
1118,1.706436,1.073918
1119,2.381198,2.945564
1120,2.034373,1.526446
1121,1.890293,1.298181
1122,2.457973,1.347185
1123,2.040738,2.740301
1124,2.112924,2.555005
1125,1.724633,0.695457
1126,2.26884,0.539983
1127,2.597722,3.310857
1128,2.608696,1.925828
1129,2.126168,0.258296
1130,1.825745,1.133796
1131,1.708026,1.15739
1132,2.203576,1.586614
1133,2.835466,2.437879
1134,2.06485,1.405926
1135,2.177706,2.539242
1136,2.108139,2.274543
1137,1.915124,0.977476
1138,2.233304,1.329232
1139,1.798084,0.780594
1140,2.520514,3.38419
1141,2.2605,2.551079
1142,2.249519,1.529836
1143,1.675985,1.568629
1144,1.590322,1.388715
1145,2.88817,2.944159
1146,1.841064,0.771349
1147,1.774275,4.528173
1148,2.253776,1.157545
1149,1.994164,1.505139
1150,1.79056,1.96518
