Date,Russia_Total,Ukraine_Total,Russia_Destroyed,Ukraine_Destroyed,Russia_Damaged,Ukraine_Damaged,Russia_Abandoned,Ukraine_Abandoned,Russia_Captured,Ukraine_Captured,Russia_Tanks,Ukraine_Tanks,Russia_AFV,Ukraine_AFV,Russia_IFV,Ukraine_IFV,Russia_APC,Ukraine_APC,Russia_Artillery,Ukraine_Artillery,Russia_Aircraft,Ukraine_Aircraft,Russia_Vehicles,Ukraine_Vehicles,Russia_Antiair,Ukraine_Antiair,Russia_Engineering,Ukraine_Engineering,Russia_Logistics,Ukraine_Logistics,month
2022-08-02,12,6,6,5,0,0,1,0,5,1,3,0,3,0,3,0,1,0,0,1,0,0,1,2,1,1,0,0,0,0,2022-08
2022-08-03,9,1,7,1,0,0,0,0,2,0,2,0,1,0,4,1,1,0,2,0,0,0,1,0,0,0,1,0,2,0,2022-08
2022-08-04,8,0,2,0,2,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2022-08
2022-08-05,6,0,3,0,2,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2022-08
2022-08-06,15,29,10,26,1,1,2,0,2,2,3,0,3,10,1,7,2,6,0,2,2,2,2,11,0,0,0,0,1,0,2022-08
2022-08-07,12,11,10,13,0,0,0,0,2,0,2,0,3,0,6,2,0,3,0,12,0,0,2,0,0,0,0,1,0,1,2022-08
2022-08-08,8,13,4,10,1,1,0,0,4,2,0,1,0,0,7,0,0,6,0,3,0,0,1,2,1,0,0,0,0,0,2022-08
2022-08-09,12,20,12,18,0,1,1,0,0,1,3,1,7,4,0,9,0,2,0,1,1,1,2,2,1,0,0,0,1,0,2022-08
2022-08-10,24,2,18,2,5,0,1,0,0,0,3,2,2,0,0,0,0,0,0,1,11,0,6,1,0,0,1,0,2,0,2022-08
2022-08-11,20,0,16,0,0,0,0,0,4,0,3,0,4,0,4,0,0,0,1,0,1,0,5,0,0,0,0,0,1,0,2022-08
2022-08-12,10,0,6,0,1,0,0,0,3,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2022-08
2022-08-13,13,5,12,3,0,1,0,0,1,1,2,0,0,0,2,3,0,0,53,1,5,0,0,0,0,0,0,0,0,0,2022-08
2022-08-14,4,5,12,1,2,0,0,0,2,4,4,4,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2022-08
2022-08-15,14,3,13,3,0,0,0,0,1,0,6,0,1,0,2,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2022-08
2022-08-16,7,9,4,7,1,0,0,0,2,2,3,1,2,0,0,7,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2022-08
2022-08-17,14,1,10,1,1,0,2,0,1,0,6,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2022-08
2022-08-18,8,2,7,1,0,1,0,0,1,0,3,0,0,0,1,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,2022-08
2022-08-19,12,7,10,6,0,1,0,0,2,0,5,1,2,1,3,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2022-08
2022-08-20,6,5,6,4,0,0,0,0,0,1,1,0,1,0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2022-08
